CollectionNumber,Species_Code,Spec_Num,Com_Name,Gear_Code,Gear_Description,FishWeight_g,Sex,DateFull,Month,TL_mm,DayOfTheYear,Age_Yrs,Age_Days,Age_FracYrs,AgeMethod,YearClass
19900019,A263,1,Sheepshead,010,ROTENONE,,9,19-Apr-90,4,13,109,0,109,0.30,length,1990
19910193,A263,1,Sheepshead,010,ROTENONE,,,8-May-91,5,11,128,0,128,0.35,length,1991
19900028,A263,1,Sheepshead,010,ROTENONE,,9,18-May-90,5,10,138,0,138,0.38,length,1990
19900028,A263,2,Sheepshead,010,ROTENONE,,9,18-May-90,5,11,138,0,138,0.38,length,1990
19900029,A263,1,Sheepshead,010,ROTENONE,,9,18-May-90,5,12,138,0,138,0.38,length,1990
19900028,A263,3,Sheepshead,010,ROTENONE,,9,18-May-90,5,15.9877,138,0,138,0.38,length,1990
19920134,A263,4,Sheepshead,010,ROTENONE,,,18-May-92,5,7,139,0,139,0.38,length,1992
19920134,A263,3,Sheepshead,010,ROTENONE,,,18-May-92,5,8,139,0,139,0.38,length,1992
19920134,A263,2,Sheepshead,010,ROTENONE,,,18-May-92,5,16,139,0,139,0.38,length,1992
19920134,A263,1,Sheepshead,010,ROTENONE,,,18-May-92,5,17,139,0,139,0.38,length,1992
19920136,A263,3,Sheepshead,010,ROTENONE,,9,19-May-92,5,8,140,0,140,0.38,length,1992
19920136,A263,4,Sheepshead,010,ROTENONE,,9,19-May-92,5,8,140,0,140,0.38,length,1992
19920136,A263,2,Sheepshead,010,ROTENONE,,9,19-May-92,5,10,140,0,140,0.38,length,1992
19920136,A263,1,Sheepshead,010,ROTENONE,,9,19-May-92,5,18.4783,140,0,140,0.38,length,1992
19890026,A263,2,Sheepshead,010,ROTENONE,,9,23-May-89,5,8,143,0,143,0.39,length,1989
19890026,A263,1,Sheepshead,010,ROTENONE,,9,23-May-89,5,14,143,0,143,0.39,length,1989
19910246,A263,1,Sheepshead,010,ROTENONE,1,9,6-Jun-91,6,21,157,0,157,0.43,length,1991
19910246,A263,2,Sheepshead,010,ROTENONE,1,9,6-Jun-91,6,21,157,0,157,0.43,length,1991
19910246,A263,4,Sheepshead,010,ROTENONE,1,9,6-Jun-91,6,21,157,0,157,0.43,length,1991
19910246,A263,3,Sheepshead,010,ROTENONE,1,9,6-Jun-91,6,23,157,0,157,0.43,length,1991
19910249,A263,2,Sheepshead,010,ROTENONE,1,9,7-Jun-91,6,22,158,0,158,0.43,length,1991
19910249,A263,1,Sheepshead,010,ROTENONE,1,9,7-Jun-91,6,25,158,0,158,0.43,length,1991
19867004,A263,1,Sheepshead,010,ROTENONE,,,9-Jun-86,6,15,160,0,160,0.44,length,1986
19900041,A263,3,Sheepshead,010,ROTENONE,1,9,11-Jun-90,6,20,162,0,162,0.44,length,1990
19900041,A263,1,Sheepshead,010,ROTENONE,1,9,11-Jun-90,6,24,162,0,162,0.44,length,1990
19900041,A263,2,Sheepshead,010,ROTENONE,1,9,11-Jun-90,6,30,162,0,162,0.44,length,1990
19900044,A263,2,Sheepshead,010,ROTENONE,,9,12-Jun-90,6,22,163,0,163,0.45,length,1990
19900044,A263,1,Sheepshead,010,ROTENONE,,9,12-Jun-90,6,25,163,0,163,0.45,length,1990
19920160,A263,1,Sheepshead,010,ROTENONE,,9,15-Jun-92,6,21,167,0,167,0.46,length,1992
19880085,A263,1,Sheepshead,010,ROTENONE,1,9,15-Jun-88,6,27,167,0,167,0.46,length,1988
19880085,A263,2,Sheepshead,010,ROTENONE,1,9,15-Jun-88,6,36,167,0,167,0.46,length,1988
19890033,A263,1,Sheepshead,010,ROTENONE,1,9,19-Jun-89,6,24,170,0,170,0.47,length,1989
19890036,A263,1,Sheepshead,010,ROTENONE,1,9,20-Jun-89,6,25,171,0,171,0.47,length,1989
20020872,A263,1,Sheepshead,011,ELECTROFISHING,,,3-Jul-02,7,42,184,0,184,0.50,length,2002
19910297,A263,2,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,5,9,10-Jul-91,7,61,191,0,191,0.52,length,1991
20080867,A263,1,Sheepshead,011,ELECTROFISHING,3,,11-Jul-08,7,45,193,0,193,0.53,length,2008
19880096,A263,7,Sheepshead,010,ROTENONE,,9,14-Jul-88,7,34,196,0,196,0.54,length,1988
19880096,A263,6,Sheepshead,010,ROTENONE,,9,14-Jul-88,7,35,196,0,196,0.54,length,1988
19880096,A263,5,Sheepshead,010,ROTENONE,,9,14-Jul-88,7,40,196,0,196,0.54,length,1988
19880096,A263,4,Sheepshead,010,ROTENONE,,9,14-Jul-88,7,43,196,0,196,0.54,length,1988
19880096,A263,1,Sheepshead,010,ROTENONE,,9,14-Jul-88,7,45,196,0,196,0.54,length,1988
19880096,A263,2,Sheepshead,010,ROTENONE,,9,14-Jul-88,7,50,196,0,196,0.54,length,1988
19880096,A263,3,Sheepshead,010,ROTENONE,,9,14-Jul-88,7,60,196,0,196,0.54,length,1988
19867006,A263,1,Sheepshead,010,ROTENONE,4,9,16-Jul-86,7,57,197,0,197,0.54,length,1986
19900057,A263,2,Sheepshead,128,STOP NET - 366m x 3m x 51 mm stretch mesh,2,9,23-Jul-90,7,50,204,0,204,0.56,length,1990
