SOURCE,CONTROL1,PROGRAM,YEAR,MONTH,DAY,LINENUM,LOCATION,GEAR1,GEAR DESCRIPTION,SPECIES,SPSTATUS,SEX,LENGTH- FL (mm),LENGTH- TL (mm),WEIGHT (kg),STRUCT,VAR1,VAR2,FLEET,AGE
NCDMF,1511205,930- Misc. aging samples,15,1,19,1,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,undetermined,216,236,,otolith,8310,,recreational,1
NCDMF,1511205,930- Misc. aging samples,15,1,19,2,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,undetermined,203,219,,otolith,8310,,recreational,1
NCDMF,1511205,930- Misc. aging samples,15,1,19,3,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,male,223,240,,otolith,8310,,recreational,1
NCDMF,1511205,930- Misc. aging samples,15,1,19,4,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,male,302,337,,otolith,8310,,recreational,3
NCDMF,1511205,930- Misc. aging samples,15,1,19,5,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,male,305,332,,otolith,8310,,recreational,3
NCDMF,1511205,930- Misc. aging samples,15,1,19,6,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,male,379,413,,otolith,8310,,recreational,3
NCDMF,1511205,930- Misc. aging samples,15,1,19,7,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,undetermined,280,305,,otolith,8310,,recreational,2
NCDMF,1511205,930- Misc. aging samples,15,1,19,8,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,undetermined,266,290,,otolith,8310,,recreational,2
NCDMF,1511205,930- Misc. aging samples,15,1,19,9,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,undetermined,265,295,,otolith,8310,,recreational,2
NCDMF,1511205,930- Misc. aging samples,15,1,19,10,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,undetermined,222,240,,otolith,8310,,recreational,2
NCDMF,1511205,930- Misc. aging samples,15,1,19,11,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,undetermined,213,232,,otolith,8310,,recreational,1
NCDMF,1511205,930- Misc. aging samples,15,1,19,12,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,undetermined,205,226,,otolith,8310,,recreational,1
NCDMF,1511205,930- Misc. aging samples,15,1,19,13,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,undetermined,195,213,,otolith,8310,,recreational,1
NCDMF,1511205,930- Misc. aging samples,15,1,19,14,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,undetermined,212,236,,otolith,8310,,recreational,1
NCDMF,1511212,930- Misc. aging samples,15,1,31,1,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,female,285,317,,otolith,8310,,recreational,2
NCDMF,1511212,930- Misc. aging samples,15,1,31,2,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,female,246,271,,otolith,8310,,recreational,2
NCDMF,1511212,930- Misc. aging samples,15,1,31,3,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,female,220,237,,otolith,8310,,recreational,1
NCDMF,1511212,930- Misc. aging samples,15,1,31,4,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,female,235,262,,otolith,8310,,recreational,2
NCDMF,1511212,930- Misc. aging samples,15,1,31,6,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,male,300,333,,otolith,8310,,recreational,4
NCDMF,1511212,930- Misc. aging samples,15,1,31,7,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,female,373,409,,otolith,8310,,recreational,3
NCDMF,1511212,930- Misc. aging samples,15,1,31,8,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,undetermined,265,292,,otolith,8310,,recreational,2
NCDMF,1511212,930- Misc. aging samples,15,1,31,9,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,undetermined,240,261,,otolith,8310,,recreational,1
NCDMF,1511212,930- Misc. aging samples,15,1,31,10,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,undetermined,252,276,,otolith,8310,,recreational,2
NCDMF,1511212,930- Misc. aging samples,15,1,31,11,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,undetermined,225,247,,otolith,8310,,recreational,2
NCDMF,1511212,930- Misc. aging samples,15,1,31,12,BEAUFORT INLET,420,"Hook and line, unclasified",Sheepshead,0,undetermined,225,247,,otolith,8310,,recreational,1
NCDMF,1511241,930- Misc. aging samples,15,6,2,1,BOGUE SOUND,420,"Hook and line, unclasified",Sheepshead,0,female,322,356,,otolith,8310,,recreational,4
NCDMF,1511241,930- Misc. aging samples,15,6,2,2,BOGUE SOUND,420,"Hook and line, unclasified",Sheepshead,0,male,285,324,,otolith,8310,,recreational,2
NCDMF,1511871,930- Misc. aging samples,15,4,28,1,E. OF BLUFF TO LONG SH./RODAN.,246,"DMF monofilament gillnet, floating, anchored",Sheepshead,0,undetermined,241,264,0.36,otolith,,915,independent,2
NCDMF,1511912,930- Misc. aging samples,15,5,14,1,LONG SHOAL RIVER,246,"DMF monofilament gillnet, floating, anchored",Sheepshead,0,undetermined,272,298,0.52,otolith,,915,independent,2
NCDMF,1511912,930- Misc. aging samples,15,5,14,2,LONG SHOAL RIVER,246,"DMF monofilament gillnet, floating, anchored",Sheepshead,0,undetermined,318,346,0.64,otolith,,915,independent,3
NCDMF,1511927,930- Misc. aging samples,15,5,19,1,ROSE BAY,246,"DMF monofilament gillnet, floating, anchored",Sheepshead,0,female,287,315,0.63,otolith,,915,independent,3
NCDMF,1511927,930- Misc. aging samples,15,5,19,2,ROSE BAY,246,"DMF monofilament gillnet, floating, anchored",Sheepshead,0,undetermined,339,370,0.95,otolith,,915,independent,3
NCDMF,1511964,930- Misc. aging samples,15,6,2,1,GARBACON CREEK,246,"DMF monofilament gillnet, floating, anchored",Sheepshead,0,male,323,375,0.82,otolith,,915,independent,3
NCDMF,1511974,930- Misc. aging samples,15,6,16,1,MOUTH TO CHERRY PT/WILKINSON PT.,246,"DMF monofilament gillnet, floating, anchored",Sheepshead,0,undetermined,186,200,0.17,otolith,,915,independent,1
NCDMF,1512045,930- Misc. aging samples,15,6,25,1,E. OF BLUFF TO LONG SH./RODAN.,246,"DMF monofilament gillnet, floating, anchored",Sheepshead,0,undetermined,337,375,0.98,otolith,,915,independent,3
NCDMF,1512076,930- Misc. aging samples,15,7,15,1,MOUTH TO CHERRY PT/WILKINSON PT.,246,"DMF monofilament gillnet, floating, anchored",Sheepshead,0,undetermined,223,246,0.27,otolith,,915,independent,1
NCDMF,1512142,930- Misc. aging samples,15,9,10,1,SWANQUARTER BAY,246,"DMF monofilament gillnet, floating, anchored",Sheepshead,0,undetermined,280,307,0.62,otolith,,915,independent,2
NCDMF,1512235,930- Misc. aging samples,15,4,8,1,NORTH OF SNOW'S CUT,214,"DMF monofilament gillnet, sink, anchored",Sheepshead,0,undetermined,263,291,0.53,otolith,,915,independent,2
NCDMF,1512262,930- Misc. aging samples,15,5,5,1,SOUTH OF SNOW'S CUT,214,"DMF monofilament gillnet, sink, anchored",Sheepshead,0,male,262,287,0.47,otolith,,915,independent,2
NCDMF,1512262,930- Misc. aging samples,15,5,5,2,SOUTH OF SNOW'S CUT,214,"DMF monofilament gillnet, sink, anchored",Sheepshead,0,female,333,365,0.95,otolith,,915,independent,3
NCDMF,1512262,930- Misc. aging samples,15,5,5,3,SOUTH OF SNOW'S CUT,214,"DMF monofilament gillnet, sink, anchored",Sheepshead,0,male,367,403,1.08,otolith,,915,independent,3
NCDMF,1512262,930- Misc. aging samples,15,5,5,4,SOUTH OF SNOW'S CUT,214,"DMF monofilament gillnet, sink, anchored",Sheepshead,0,female,351,387,1.14,otolith,,915,independent,4
