"","state","sex","SL_mm","FL_mm","TL_mm","wet_weight_grams","no_rings","margin_code","date","month","fi_dependent","biological_age","fractional_age","state_no","Lat","Lon"
"1","AL","M",NA,363,400,1040,3,4,2003-04-07,4,"FI",3,3.01643835616438,8,30.3395260379587,-88.0255754693607
"2","AL","M",NA,360,400,1020,3,4,2003-04-07,4,"FI",3,3.01643835616438,8,30.3395260379587,-88.0255754693607
"3","AL","M",NA,400,441,1340,3,4,2003-04-08,4,"FI",3,3.01917808219178,8,30.3395260379587,-88.0255754693607
"4","AL","F",NA,280,308,530,2,4,2003-04-08,4,"FI",2,2.01917808219178,8,30.3395260379587,-88.0255754693607
"5","AL","M",NA,258,280,390,1,4,2003-04-10,4,"FI",1,1.02465753424658,8,30.3395260379587,-88.0255754693607
"6","AL","F",NA,308,339,790,2,4,2003-04-10,4,"FI",2,2.02465753424658,8,30.3395260379587,-88.0255754693607
"7","AL","F",NA,317,360,840,3,4,2003-04-10,4,"FI",3,3.02465753424658,8,30.3395260379587,-88.0255754693607
"8","AL","F",NA,334,NA,880,5,2,2003-06-16,6,"FI",5,5.20821917808219,8,30.3395260379587,-88.0255754693607
"9","AL","F",NA,335,370,850,4,1,2003-06-19,6,"FI",4,4.21643835616438,8,30.3395260379587,-88.0255754693607
"10","AL","U",NA,169,NA,120,1,2,2003-07-16,7,"FI",1,1.29041095890411,8,30.3395260379587,-88.0255754693607
"11","AL","U",NA,206,NA,240,1,2,2003-08-18,8,"FI",1,1.38082191780822,8,30.3395260379587,-88.0255754693607
"12","AL","F",NA,432,NA,2110,4,2,2003-08-18,8,"FI",4,4.38082191780822,8,30.3395260379587,-88.0255754693607
"13","AL","F",NA,385,NA,1070,3,2,2003-08-27,8,"FI",3,3.40547945205479,8,30.3395260379587,-88.0255754693607
"14","AL","F",NA,437,NA,1880,4,3,2003-08-27,8,"FI",4,4.40547945205479,8,30.3395260379587,-88.0255754693607
"15","AL","U",NA,190,210,190,1,3,2003-09-16,9,"FI",1,1.46027397260274,8,30.3395260379587,-88.0255754693607
"16","AL","U",NA,242,268,370,1,3,2003-09-25,9,"FI",1,1.48493150684931,8,30.3395260379587,-88.0255754693607
"17","AL","F",NA,398,NA,1610,4,2,2003-10-06,10,"FI",4,4.51506849315069,8,30.3395260379587,-88.0255754693607
"18","AL","F",NA,399,NA,1570,4,3,2003-10-06,10,"FI",4,4.51506849315069,8,30.3395260379587,-88.0255754693607
"19","AL","F",NA,370,NA,1180,3,3,2003-10-06,10,"FI",3,3.51506849315069,8,30.3395260379587,-88.0255754693607
"20","AL","M",NA,335,NA,670,4,3,2003-10-16,10,"FI",4,4.54246575342466,8,30.3395260379587,-88.0255754693607
"21","AL","F",NA,342,381,890,3,3,2003-10-17,10,"FI",3,3.54520547945205,8,30.3395260379587,-88.0255754693607
"22","AL","U",NA,212,NA,240,1,3,2003-10-20,10,"FI",1,1.55342465753425,8,30.3395260379587,-88.0255754693607
"23","AL","U",NA,223,NA,280,1,3,2003-10-20,10,"FI",1,1.55342465753425,8,30.3395260379587,-88.0255754693607
"24","AL","U",NA,212,NA,230,1,3,2003-10-20,10,"FI",1,1.55342465753425,8,30.3395260379587,-88.0255754693607
"25","AL","F",NA,254,NA,400,1,3,2003-10-20,10,"FI",1,1.55342465753425,8,30.3395260379587,-88.0255754693607
"26","AL","F",NA,254,NA,410,1,3,2003-10-20,10,"FI",1,1.55342465753425,8,30.3395260379587,-88.0255754693607
"27","AL","M",NA,323,361,790,3,3,2003-10-22,10,"FI",3,3.55890410958904,8,30.3395260379587,-88.0255754693607
"28","AL","F",NA,323,359,810,3,3,2003-10-22,10,"FI",3,3.55890410958904,8,30.3395260379587,-88.0255754693607
"29","AL","F",NA,269,NA,460,1,3,2003-10-30,10,"FI",1,1.58082191780822,8,30.3395260379587,-88.0255754693607
"30","AL","F",NA,324,NA,790,2,3,2003-11-06,11,"FI",2,2.6,8,30.3395260379587,-88.0255754693607
"31","AL","M",NA,340,NA,960,4,3,2003-11-06,11,"FI",4,4.6,8,30.3395260379587,-88.0255754693607
"32","AL","F",NA,392,NA,1460,4,3,2003-11-10,11,"FI",4,4.61095890410959,8,30.3395260379587,-88.0255754693607
"33","AL","F",NA,412,NA,1570,4,4,2003-11-12,11,"FI",4,4.61643835616438,8,30.3395260379587,-88.0255754693607
