SPECIES NAME,SPECIES CODE,DATE,STA,GRID,GEAR,NETHRS,PANEL,TL,FL,SL,WT,SEX,GON_WT,MATUR,GCRL_ID,MDMR_ID,AGE,MARGIN
Archosargus probatocephalus,36030680101,1/15/2006,301,-1,10,1.00,2.5,340,300,266,653,1,1,-1,,DSH00001,,
Archosargus probatocephalus,36030680101,2/22/2006,111,-1,10,1.00,4.0,284,255,225,412,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,2/22/2006,112,-1,10,1.00,-1.0,420,375,334,1330,2,15,-1,,-1,,
Archosargus probatocephalus,36030680101,5/3/2006,322,-1,10,1.00,3.0,543,492,434,2630,1,5,-1,,-1,,
Archosargus probatocephalus,36030680101,5/23/2006,201,-1,10,1.00,4.0,235,218,180,232,3,-1,-1,,DSH00002,,
Archosargus probatocephalus,36030680101,7/27/2006,322,-1,10,1.00,3.5,200,181,161,166,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,11/16/2006,201,-1,10,1.00,2.5,325,302,254,607,2,-1,-1,,DSH00003,,
Archosargus probatocephalus,36030680101,1/9/2007,301,-1,10,1.00,2.5,320,295,254,621,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,3/19/2007,322,-1,10,1.00,3.5,535,495,425,3407,2,338,-1,,-1,,
Archosargus probatocephalus,36030680101,4/25/2007,301,-1,10,1.00,4.0,288,262,222,440,2,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,4/26/2007,321,-1,10,1.00,3.5,231,212,184,220,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,4/26/2007,321,-1,10,1.00,3.5,311,284,258,569,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,7/26/2007,322,-1,10,1.00,4.0,235,210,190,235,2,-1,-1,,DSH7022,,
Archosargus probatocephalus,36030680101,9/27/2007,321,-1,10,1.00,2.0,408,381,337,1554,1,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,11/26/2007,302,-1,10,1.00,2.0,466,417,356,1849,2,4,-1,,-1,,
Archosargus probatocephalus,36030680101,12/12/2007,322,-1,10,1.00,3.5,372,340,291,918,2,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,12/12/2007,322,-1,10,1.00,3.5,400,363,308,1103,2,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,12/21/2007,201,-1,10,1.00,4.0,334,334,289,427,2,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,1/17/2008,112,-1,10,1.00,4.0,409,371,324,1175,2,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,3/13/2008,321,-1,10,1.00,4.0,349,315,281,729,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,4/9/2008,301,-1,10,1.00,4.0,360,334,279,740,2,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,4/15/2008,322,-1,10,1.00,2.0,478,448,401,2178,2,39,-1,,-1,,
Archosargus probatocephalus,36030680101,4/16/2008,112,-1,10,1.00,4.0,260,235,209,284,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,4/16/2008,112,-1,10,1.00,4.0,274,250,220,341,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,6/23/2008,113,8,10,1.00,2.5,177,165,137,118,2,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,7/17/2008,101,13,10,1.00,3.5,427,390,340,1363,2,-1,11,,-1,,
Archosargus probatocephalus,36030680101,8/21/2008,101,2,10,1.00,2.5,198,178,162,160,3,-1,1,,-1,,
Archosargus probatocephalus,36030680101,8/21/2008,101,2,10,1.00,3.5,235,217,195,267,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,9/17/2008,111,-1,10,1.00,2.5,307,281,245,539,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,12/8/2008,113,9,10,1.00,2.0,456,409,370,1498,1,-1,1,,DSH8216,6,3
Archosargus probatocephalus,36030680101,12/8/2008,113,9,10,1.00,2.5,416,377,342,1215,1,-1,5,,DSH8217,3,3
Archosargus probatocephalus,36030680101,12/8/2008,113,9,10,1.00,2.5,458,416,390,1659,2,19,2,,DSH8218,5,3
Archosargus probatocephalus,36030680101,2/18/2009,303,2,10,1.00,2.5,401,362,335,1086,2,-1,2,,-1,,
Archosargus probatocephalus,36030680101,2/18/2009,303,2,10,1.00,4.0,455,413,380,1701,2,44,3,,-1,,
Archosargus probatocephalus,36030680101,3/10/2009,322,-1,10,1.00,4.0,443,418,356,1698,1,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,3/10/2009,322,-1,10,1.00,4.0,459,442,364,1789,1,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,4/9/2009,112,-1,10,1.00,3.5,315,287,248,527,3,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,4/9/2009,112,-1,10,1.00,4.0,327,295,256,592,2,-1,2,,-1,,
Archosargus probatocephalus,36030680101,6/25/2009,101,9,10,1.00,4.0,280,252,226,401,1,-1,1,,-1,,
Archosargus probatocephalus,36030680101,7/17/2009,303,20,10,1.00,2.5,190,171,146,122,3,-1,5,,-1,,
Archosargus probatocephalus,36030680101,8/27/2009,113,15,10,1.00,4.0,343,307,273,710,2,-1,5,,-1,,
Archosargus probatocephalus,36030680101,9/22/2009,223,14,10,1.00,3.5,505,469,414,2090,2,14,2,,-1,,
Archosargus probatocephalus,36030680101,9/22/2009,223,14,10,1.00,4.0,354,331,285,760,2,4,2,,-1,,
Archosargus probatocephalus,36030680101,9/24/2009,321,-1,10,1.00,3.5,208,189,168,169,2,-1,5,,-1,,
Archosargus probatocephalus,36030680101,10/8/2009,111,-1,10,1.00,3.5,255,213,185,242,1,-1,5,,-1,,
Archosargus probatocephalus,36030680101,10/8/2009,111,-1,10,1.00,3.5,212,192,167,188,2,-1,5,,-1,,
Archosargus probatocephalus,36030680101,10/16/2009,303,20,10,1.00,4.0,231,214,183,229,2,-1,5,,-1,,
Archosargus probatocephalus,36030680101,10/16/2009,303,20,10,1.00,4.0,285,261,226,386,2,-1,5,,-1,,
Archosargus probatocephalus,36030680101,10/16/2009,303,20,10,1.00,4.0,361,328,277,688,2,-1,5,,-1,,
Archosargus probatocephalus,36030680101,10/16/2009,303,20,10,1.00,4.0,326,293,252,501,2,-1,5,,-1,,
Archosargus probatocephalus,36030680101,10/20/2009,101,9,10,1.00,2.5,404,369,317,1169,2,-1,-1,,-1,,
Archosargus probatocephalus,36030680101,11/13/2009,322,-1,10,1.00,4.0,223,203,170,190,2,-1,5,,-1,,
