YEAR,AGID,SPNAME,MONTH,DAY,BATCH,ENVNO,WEIGHT,FORK,TOTAL,TOTAL2,SIZE,SEX,STAGE,JVSEX,COMMENT,FISHID,SPEC_GROUP,STRUC,WATER,GEAR,TYPE,AREA,SELECTED,READER1,READER1PREC,READER2,READER2PREC,OTOAGE,YOBOTO,OTOAGED,DIFFERENCE,selection.50,GRAM,FL,STATE,AGE
2010,1,Sheepshead,5,3,121,1,4.79,435,482,18.98,18,1,3,1,,201005030121001,356,1,306,142,C,BAY,,5,,5,,5,2005,1,,,2172.744,435,VA,5
2010,2,Sheepshead,5,5,4144,1,2.8,371,409,16.1,16,2,2,2,,201005054144001,356,1,306,142,C,BAY,,4,3,4,3,4,2006,1,,1,1270.08,371,VA,4
2010,3,Sheepshead,5,10,130,1,2.77,381,399,15.71,15,1,3,1,,201005100130001,356,1,306,142,C,BAY,,4,4,4,4,4,2006,1,,1,1256.472,381,VA,4
2010,4,Sheepshead,5,10,130,2,3.39,371,400,15.75,15,2,3,2,,201005100130002,356,1,306,142,C,BAY,,3,,3,,3,2007,1,,,1537.704,371,VA,3
2010,5,Sheepshead,5,10,130,3,2.51,364,399,15.71,15,2,3,2,,201005100130003,356,1,306,142,C,BAY,,4,,4,,4,2006,1,,,1138.536,364,VA,4
2010,6,Sheepshead,5,10,130,4,3.62,390,425,16.73,16,1,2,1,,201005100130004,356,1,306,142,C,BAY,,4,4,4,4,4,2006,1,,1,1642.032,390,VA,4
2010,7,Sheepshead,5,10,130,5,3.7,410,449,17.68,17,1,1,1,,201005100130005,356,1,306,142,C,BAY,,5,,5,,5,2005,1,,,1678.32,410,VA,5
2010,8,Sheepshead,5,10,6115,1,1.95,342,372,14.65,14,2,2,2,,201005106115001,356,1,353,142,C,BAY,,3,3,3,3,3,2007,1,,1,884.52,342,VA,3
2010,9,Sheepshead,5,12,6125,1,2.19,345,378,14.88,14,2,2,2,,201005126125001,356,1,309,142,C,BAY,,3,,3,,3,2007,1,,,993.384,345,VA,3
2010,10,Sheepshead,5,13,2136,1,3.828,422,465,18.31,18,2,2,2,,201005132136001,356,1,306,142,C,BAY,,4,,4,,4,2006,1,,,1736.3808,422,VA,4
2010,11,Sheepshead,5,13,2136,2,3.442,412,450,17.72,17,1,2,1,,201005132136002,356,1,306,142,C,BAY,,4,4,4,4,4,2006,1,,1,1561.2912,412,VA,4
2010,12,Sheepshead,5,13,2137,1,2.648,373,403,15.87,15,1,2,1,,201005132137001,356,1,306,142,C,BAY,,5,5,5,5,5,2005,1,,1,1201.1328,373,VA,5
2010,13,Sheepshead,5,19,4160,1,3.84,415,446,17.56,17,2,2,2,,201005194160001,356,1,306,142,C,BAY,,4,,4,,4,2006,1,,,1741.824,415,VA,4
2010,14,Sheepshead,5,19,4160,2,4.99,453,503,19.8,19,2,2,2,,201005194160002,356,1,306,142,C,BAY,,5,,5,,5,2005,1,,,2263.464,453,VA,5
2010,15,Sheepshead,6,1,2190,1,11.5,570,624,24.57,24,2,3,2,Billy Harmon,201006012190001,356,1,307,20,R,BAY,,13,,13,,13,1997,1,,,5216.4,570,VA,13
2010,16,Sheepshead,6,1,2192,1,4.662,429,468,18.43,18,1,2,1,,201006012192001,356,1,625,100,C,OCEAN,,5,4,4,4,4,2006,1,1,1,2114.6832,429,VA,4
2010,17,Sheepshead,6,5,4194,1,9,547,606,23.86,23,2,3,2,,201006054194001,356,1,307,20,R,BAY,,13,,13,,13,1997,1,,,4082.4,547,VA,13
2010,18,Sheepshead,6,24,4214,1,,403,440,17.32,17,2,2,2,,201006244214001,356,1,307,20,R,BAY,,5,,5,,5,2005,1,,,,403,VA,5
2010,19,Sheepshead,6,24,4214,2,,465,508,20,20,1,2,1,,201006244214002,356,1,307,20,R,BAY,,,,,,,,,,,,465,VA,
2010,20,Sheepshead,6,24,4214,3,,471,522,20.55,20,1,2,1,,201006244214003,356,1,307,20,R,BAY,,6,6,6,5,6,2004,1,,1,,471,VA,6
2010,21,Sheepshead,6,24,4214,4,,556,620,24.41,24,2,3,2,,201006244214004,356,1,307,20,R,BAY,,12,,12,,12,1998,1,,,,556,VA,12
2010,22,Sheepshead,6,24,4214,5,,378,415,16.34,16,1,2,1,,201006244214005,356,1,307,20,R,BAY,,4,4,4,4,4,2006,1,,1,,378,VA,4
2010,23,Sheepshead,6,24,4214,6,,522,575,22.64,22,3,,3,,201006244214006,356,1,307,20,R,BAY,,9,9,9,9,9,2001,1,,1,,522,VA,9
