YEAR,AGID,SPNAME,MONTH,DAY,BATCH,ENVNO,WEIGHT,FORK,TOTAL,TOTAL2,SIZE,SEX,STAGE,COMMENT,FISHID,SPEC_GROUP,STRUC,WATER,GEAR,TYPE,AREA,GEARTYPE,SELECTED,READER1,READER1PREC,READER2,READER2PREC,OTOAGE,YOBOTO,OTOAGED,DIFFERENCE,selection.50
2013,1,Sheepshead,5,2,28,1,1.38,294,323,12.72,12,1,4,,201305020028001,356,1,306,142,C,BAY,GNHL,,2,2,2,2,2,2011,1,,1
2013,2,Sheepshead,5,31,2187,1,2.21,350,385,15.16,15,2,2,,201305312187001,356,1,306,142,C,BAY,GNHL,,4,,4,,4,2009,1,,
2013,3,Sheepshead,6,1,4152,1,,525,580,22.83,22,1,2,,201306064152001,356,1,307,20,R,BAY,GNHL,,17,17,17,17,17,1996,1,,1
2013,4,Sheepshead,6,1,4152,2,,527,581,22.87,22,2,2,,201306064152002,356,1,307,20,R,BAY,GNHL,,8,8,8,8,8,2005,1,,1
2013,5,Sheepshead,6,1,4152,3,,565,634,,24,2,3,,201306064152003,356,1,307,20,R,BAY,GNHL,,11,,12,,12,2001,1,1,
2013,6,Sheepshead,6,1,4152,4,,560,607,23.9,23,2,3,,201306064152004,356,1,307,20,R,BAY,GNHL,,40,39,39,39,40,1973,1,1,1
2013,7,Sheepshead,6,1,4152,5,,527,585,23.03,23,1,2,,201306064152005,356,1,307,20,R,BAY,GNHL,,12,12,12,12,12,2001,1,,1
2013,8,Sheepshead,6,11,2218,1,1.15,280,306,12.05,12,2,1,,201306112218001,356,1,306,142,C,BAY,GNHL,,2,,2,,2,2011,1,,
2013,9,Sheepshead,6,11,2218,2,1.11,281,308,12.13,12,2,1,,201306112218002,356,1,306,142,C,BAY,GNHL,,2,2,2,2,2,2011,1,,1
2013,10,Sheepshead,6,12,2221,1,1.7,304,324,12.76,12,1,2,,201306122221001,356,1,306,142,C,BAY,GNHL,,2,,2,,2,2011,1,,
2013,11,Sheepshead,6,12,2221,2,6.71,504,552,21.73,21,1,2,,201306122221002,356,1,306,142,C,BAY,GNHL,,8,,8,,8,2005,1,,
2013,12,Sheepshead,6,12,2221,3,10.63,586,648,,25,2,2,,201306122221003,356,1,306,142,C,BAY,GNHL,,13,14,14,14,14,1999,1,1,1
2013,13,Sheepshead,6,12,2221,4,12.03,586,635,25,25,2,3,,201306122221004,356,1,306,142,C,BAY,GNHL,,23,22,23,23,23,1990,1,,1
2013,14,Sheepshead,6,12,2221,5,6.74,418,458,18.03,18,1,2,,201306122221005,356,1,306,142,C,BAY,GNHL,,6,6,6,6,6,2007,1,,1
2013,15,Sheepshead,6,12,2229,1,,532,590,,23,1,,,201306122229001,356,1,306,20,R,BAY,GNHL,,26,,27,,27,1986,1,1,
2013,16,Sheepshead,6,12,2229,2,,558,595,23.43,23,1,3,,201306122229002,356,1,306,20,R,BAY,GNHL,,12,12,12,12,12,2001,1,,1
2013,17,Sheepshead,6,12,2229,3,,536,574,,22,1,3,,201306122229003,356,1,306,20,R,BAY,GNHL,,21,,21,,21,1992,1,,
2013,18,Sheepshead,6,12,2229,4,,560,594,23.39,23,1,,,201306122229004,356,1,306,20,R,BAY,GNHL,,15,,15,,15,1998,1,,
2013,19,Sheepshead,6,12,2229,5,,506,563,22.17,22,1,,,201306122229005,356,1,306,20,R,BAY,GNHL,,5,5,5,5,5,2008,1,,1
2013,20,Sheepshead,6,15,4185,1,,527,575,22.64,22,2,3,,201306244185001,356,1,307,20,C,BAY,GNHL,,15,16,16,15,15,1998,1,1,1
