YEAR,AGID,SPNAME,MONTH,DAY,BATCH,ENVNO,WEIGHT,FORK,TOTAL,TOTAL2,SIZE,SEX,STAGE,JVSEX,COMMENT,FISHID,SPEC_GROUP,STRUC,WATER,GEAR,TYPE,AREA,SELECTED,READER1,READER1PREC,READER2,READER2PREC,OTOAGE,YOBOTO,OTOAGED,DIFFERENCE,selection.50,GRAM,FL,STATE,AGE
2009,1,Sheepshead,5,5,4098,1,2.680,375,400,15.75,15,2,3,2,,2009050506040980001,356,1,336,70,C,BAY,1,3,3,3,3,3,2006,1,,1,1215.648,375,VA,3
2009,2,Sheepshead,5,14,124,1,3.012,378,411,16.18,16,1,2,1,,2009051400001240001,356,2,306,142,C,BAY,1,4,,4,,4,2005,1,,,1366.2432,378,VA,4
2009,3,Sheepshead,5,14,124,2,2.689,369,410,16.14,16,2,3,2,,2009051400001240002,356,2,306,142,C,BAY,1,6,,6,,6,2003,1,,,1219.7304,369,VA,6
2009,4,Sheepshead,5,20,126,1,1.823,324,350,13.78,13,1,1,1,,2009052000001260001,356,2,306,142,C,BAY,1,3,3,3,3,3,2006,1,,1,826.9128,324,VA,3
2009,5,Sheepshead,5,20,126,2,3.025,378,409,16.10,16,1,2,1,,2009052000001260002,356,2,306,142,C,BAY,1,3,,3,,3,2006,1,,,1372.14,378,VA,3
2009,6,Sheepshead,5,20,126,3,1.681,324,353,13.90,13,1,1,1,,2009052000001260003,356,2,306,142,C,BAY,1,3,,3,,3,2006,1,,,762.5016,324,VA,3
2009,7,Sheepshead,5,20,126,4,3.738,404,452,17.80,17,1,2,1,,2009052000001260004,356,2,306,142,C,BAY,1,5,5,5,5,5,2004,1,,1,1695.5568,404,VA,5
2009,8,Sheepshead,5,20,126,5,2.659,365,397,15.63,15,1,1,1,,2009052000001260005,356,2,306,142,C,BAY,1,3,3,3,3,3,2006,1,,1,1206.1224,365,VA,3
2009,9,Sheepshead,5,20,126,6,3.479,388,,,,1,1,1,,2009052000001260006,356,2,306,142,C,BAY,1,3,3,3,3,3,2006,1,,1,1578.0744,388,VA,3
2009,10,Sheepshead,5,20,126,7,1.195,279,302,11.89,11,2,1,2,,2009052000001260007,356,2,306,142,C,BAY,1,2,2,2,2,2,2007,1,,1,542.052,279,VA,2
