YEAR,AGID,SPNAME,MONTH,DAY,BATCH,ENVNO,WEIGHT,FORK,TOTAL,TOTAL2,SIZE,SEX,STAGE,JVSEX,COMMENT,FISHID,SPEC_GROUP,STRUC,WATER,GEAR,TYPE,AREA,GEARTYPE,SELECTED,READER1,READER1PREC,READER2,READER2PREC,OTOAGE,YOBOTO,OTOAGED,DIFFERENCE,selection.50,GRAM,STATE,AGE
2012,24,Sheepshead,7,23,2283,5,0.17,146,159,6.26,6,0,,2,,201207232283005,356,1,306,142,C,BAY,GNHL,,1,,1,,1,2011,1,,,77.112,VA,1
2012,34,Sheepshead,7,24,2292,6,0.22,159,173,6.81,6,0,,2,,201207242292006,356,1,306,142,C,BAY,GNHL,,1,1,1,1,1,2011,1,,1,99.792,VA,1
2012,18,Sheepshead,7,3,2244,2,0.28,166,181,7.13,7,0,,2,,201207052244002,356,1,306,142,C,BAY,GNHL,,1,,2,,1,2011,1,,,127.008,VA,1
2012,21,Sheepshead,7,23,2283,2,0.48,193,208,8.19,8,0,,1,,201207232283002,356,1,306,142,C,BAY,GNHL,,1,1,1,1,1,2011,1,,1,217.728,VA,1
2012,29,Sheepshead,7,24,2292,1,0.46,194,211,8.31,8,0,,1,,201207242292001,356,1,306,142,C,BAY,GNHL,,1,1,1,1,1,2011,1,,1,208.656,VA,1
2012,32,Sheepshead,7,24,2292,4,0.49,197,215,8.46,8,0,,2,,201207242292004,356,1,306,142,C,BAY,GNHL,,1,1,1,1,1,2011,1,,1,222.264,VA,1
2012,30,Sheepshead,7,24,2292,2,0.46,202,219,8.62,8,0,,1,,201207242292002,356,1,306,142,C,BAY,GNHL,,1,,1,,1,2011,1,,,208.656,VA,1
2012,25,Sheepshead,7,23,2283,6,0.56,204,221,8.7,8,0,,2,,201207232283006,356,1,306,142,C,BAY,GNHL,,1,,1,,1,2011,1,,,254.016,VA,1
2012,31,Sheepshead,7,24,2292,3,0.55,208,228,8.98,8,0,,1,,201207242292003,356,1,306,142,C,BAY,GNHL,,1,1,1,1,1,2011,1,,1,249.48,VA,1
2012,23,Sheepshead,7,23,2283,4,0.65,213,230,9.06,9,0,,1,,201207232283004,356,1,306,142,C,BAY,GNHL,,1,1,1,1,1,2011,1,,1,294.84,VA,1
2012,27,Sheepshead,7,23,2283,8,0.64,217,231,9.09,9,0,,2,,201207232283008,356,1,306,142,C,BAY,GNHL,,1,1,1,1,1,2011,1,,1,290.304,VA,1
2012,26,Sheepshead,7,23,2283,7,0.69,221,234,9.21,9,0,,2,,201207232283007,356,1,306,142,C,BAY,GNHL,,1,,1,,1,2011,1,,,312.984,VA,1
2012,20,Sheepshead,7,23,2283,1,0.58,216,235,9.25,9,0,,2,,201207232283001,356,1,306,142,C,BAY,GNHL,,1,1,1,1,1,2011,1,,1,263.088,VA,1
2012,28,Sheepshead,7,23,2283,9,0.69,218,236,9.29,9,0,,2,,201207232283009,356,1,306,142,C,BAY,GNHL,,1,1,1,1,1,2011,1,,1,312.984,VA,1
2012,33,Sheepshead,7,24,2292,5,0.66,215,237,9.33,9,0,,1,,201207242292005,356,1,306,142,C,BAY,GNHL,,1,1,1,1,1,2011,1,,1,299.376,VA,1
2012,22,Sheepshead,7,23,2283,3,0.69,220,239,9.41,9,0,,2,,201207232283003,356,1,306,142,C,BAY,GNHL,,1,1,1,1,1,2011,1,,1,312.984,VA,1
2012,40,Sheepshead,7,30,2313,1,0.69,220,240,9.45,9,0,,1,,201207302313001,356,1,306,142,C,BAY,GNHL,,1,1,1,1,1,2011,1,,1,312.984,VA,1
2012,46,Sheepshead,8,25,4268,4,,241,261,10.28,10,0,,2,,201208284268004,356,1,324,20,R,BAY,GNHL,,1,1,1,1,1,2011,1,,1,,VA,1
2012,49,Sheepshead,8,29,2386,1,0.79,240,263,10.35,10,0,,2,,201208292386001,356,1,306,142,C,BAY,GNHL,,1,1,1,1,1,2011,1,,1,358.344,VA,1
2012,64,Sheepshead,10,19,207,3,,245,270,10.63,10,0,,1,,201210190207003,356,1,307,20,R,BAY,GNHL,,1,1,1,1,1,2011,1,,1,,VA,1
2012,50,Sheepshead,9,7,2410,1,0.9,,271,10.66929134,10,0,,1,,201209072410001,356,1,306,142,C,BAY,GNHL,,1,1,1,1,1,2011,1,,1,408.24,VA,1
2012,62,Sheepshead,10,19,207,1,,253,273,10.75,10,0,,2,,201210190207001,356,1,307,20,R,BAY,GNHL,,1,1,1,1,1,2011,1,,1,,VA,1
2012,65,Sheepshead,10,19,207,4,,254,276,10.87,10,0,,2,,201210190207004,356,1,307,20,R,BAY,GNHL,,1,,1,,1,2011,1,,,,VA,1
2012,52,Sheepshead,9,24,4325,1,0.92,252,277,10.91,10,0,,2,,201209254325001,356,1,347,70,C,BAY,OTHERS,,1,1,1,1,1,2011,1,,1,417.312,VA,1
2012,67,Sheepshead,10,19,207,6,,259,281,11.06,11,0,,1,,201210190207006,356,1,307,20,R,BAY,GNHL,,1,,1,,1,2011,1,,,,VA,1
2012,53,Sheepshead,9,24,4325,2,1.07,262,287,11.3,11,0,,2,,201209254325002,356,1,347,70,C,BAY,OTHERS,,1,1,1,1,1,2011,1,,1,485.352,VA,1
2012,66,Sheepshead,10,19,207,5,,283,305,12.01,12,0,,1,,201210190207005,356,1,307,20,R,BAY,GNHL,,1,1,1,1,1,2011,1,,1,,VA,1
2012,69,Sheepshead,10,21,4389,2,,282,308,12.13,12,0,,1,,201210224389002,356,1,347,20,R,BAY,GNHL,,1,,1,,1,2011,1,,,,VA,1
2012,68,Sheepshead,10,21,4389,1,,288,315,12.4,12,0,,1,,201210224389001,356,1,347,20,R,BAY,GNHL,,1,1,1,1,1,2011,1,,1,,VA,1
2012,6,Sheepshead,6,4,2176,1,0.26,169,182,7.17,7,1,1,1,,201206042176001,356,1,306,142,C,BAY,GNHL,,1,,1,,1,2011,1,,,117.936,VA,1
2012,45,Sheepshead,8,25,4268,3,,241,262,10.31,10,1,2,1,,201208284268003,356,1,324,20,R,BAY,GNHL,,1,,1,,1,2011,1,,,,VA,1
2012,44,Sheepshead,8,25,4268,2,,245,266,10.47,10,1,2,1,,201208284268002,356,1,324,20,R,BAY,GNHL,,1,1,1,1,1,2011,1,,1,,VA,1
2012,59,Sheepshead,10,10,4361,1,1.15,261,282,11.1,11,1,2,1,,201210114361001,356,1,347,100,C,BAY,GNHL,,1,1,1,1,1,2011,1,,1,521.64,VA,1
2012,60,Sheepshead,10,10,4361,2,1.29,260,282,11.1,11,1,2,1,,201210114361002,356,1,347,100,C,BAY,GNHL,,1,1,1,1,1,2011,1,,1,585.144,VA,1
2012,57,Sheepshead,10,1,4342,4,1.41,270,295,11.61,11,1,2,1,,201210034342004,356,1,324,100,C,BAY,GNHL,,1,,1,,1,2011,1,,,639.576,VA,1
2012,47,Sheepshead,8,25,4268,5,,273,298,11.73,11,1,2,1,,201208284268005,356,1,324,20,R,BAY,GNHL,,1,1,1,1,1,2011,1,,1,,VA,1
2012,58,Sheepshead,10,1,4342,5,1.59,283,310,12.2,12,1,2,1,,201210034342005,356,1,324,100,C,BAY,GNHL,,1,1,1,1,1,2011,1,,1,721.224,VA,1
2012,55,Sheepshead,10,1,4342,2,1.6,289,313,12.32,12,1,2,1,,201210034342002,356,1,324,100,C,BAY,GNHL,,1,1,1,1,1,2011,1,,1,725.76,VA,1
2012,54,Sheepshead,10,1,4342,1,1.6,286,315,12.4,12,1,2,1,,201210024342001,356,1,324,100,C,BAY,GNHL,,1,,1,,1,2011,1,,,725.76,VA,1
2012,43,Sheepshead,8,25,4268,1,,290,319,12.56,12,1,2,1,,201208284268001,356,1,324,20,R,BAY,GNHL,,1,2,1,1,1,2011,1,,1,,VA,1
2012,56,Sheepshead,10,1,4342,3,1.69,291,320,12.6,12,1,2,1,,201210034342003,356,1,324,100,C,BAY,GNHL,,1,,1,,1,2011,1,,,766.584,VA,1
2012,61,Sheepshead,10,10,4361,3,1.46,281,306,12.05,12,2,2,2,,201210114361003,356,1,347,100,C,BAY,GNHL,,1,,1,,1,2011,1,,,662.256,VA,1
2012,63,Sheepshead,10,19,207,2,,330,363,14.29,14,2,1,2,,201210190207002,356,1,307,20,R,BAY,GNHL,,1,1,1,1,1,2011,1,,1,,VA,1
2012,1,Sheepshead,5,3,2075,1,1.55,308,337,13.27,13,2,2,2,,201205032075001,356,1,306,142,C,BAY,GNHL,,2,2,2,2,2,2010,1,,1,703.08,VA,2
2012,14,Sheepshead,6,13,2195,1,0.22,161,174,6.85,6,3,,3,,201206132195001,356,1,306,142,C,BAY,GNHL,,2,2,2,2,2,2010,1,,1,99.792,VA,2
