YEAR,AGID,SPNAME,MONTH,DAY,BATCH,ENVNO,WEIGHT,FORK,TOTAL,TOTAL2,SIZE,SEX,STAGE,COMMENT,FISHID,SPEC_GROUP,STRUC,WATER,GEAR,TYPE,AREA,GEARTYPE,SELECTED,READER1,READER1PREC,READER2,READER2PREC,OTOAGE,YOBOTO,OTOAGED,DIFFERENCE,selection.50
2014,1,Sheepshead,3,12,4095,1,2.08,335,363,14.29,14,1,2,,201403124095001,356,1,631,50,C,OCEAN,OTHERS,,3,3,3,3,3,2011,1,,1
2014,2,Sheepshead,4,28,2112,1,2.15,345,383,15.08,15,0,,,201404282112001,356,1,306,142,C,BAY,GNHL,,3,,3,,3,2011,1,,
2014,3,Sheepshead,5,8,37,1,2.99,373,400,15.75,15,2,2,,201405080037001,356,1,625,100,C,OCEAN,GNHL,,3,,3,,3,2011,1,,
2014,4,Sheepshead,5,19,2163,1,1.85,330,361,14.21,14,1,2,,201405192163001,356,1,306,142,C,BAY,GNHL,,3,,3,,3,2011,1,,
2014,5,Sheepshead,5,21,56,1,1.57,309,332,13.07,13,2,2,,201405210056001,356,1,306,142,C,BAY,GNHL,,3,3,3,3,3,2011,1,,1
2014,6,Sheepshead,5,21,56,2,2.72,362,395,15.55,15,2,2,,201405210056002,356,1,306,142,C,BAY,GNHL,,3,,3,,3,2011,1,,
2014,7,Sheepshead,5,21,56,3,1.4,298,327,12.87,12,1,2,,201405210056003,356,1,306,142,C,BAY,GNHL,,3,,3,,3,2011,1,,
2014,8,Sheepshead,5,21,56,4,2.06,342,368,14.49,14,2,2,,201405210056004,356,1,306,142,C,BAY,GNHL,,3,,3,,3,2011,1,,
2014,9,Sheepshead,5,21,56,5,1.54,317,350,13.78,13,2,2,,201405210056005,356,1,306,142,C,BAY,GNHL,,3,,3,,3,2011,1,,
2014,10,Sheepshead,5,23,2182,1,,514,566,22.28,22,1,3,,201405232182001,356,1,306,20,R,BAY,GNHL,,8,,8,,8,2006,1,,
2014,11,Sheepshead,5,25,2183,1,,564,626,24.65,24,2,3,,201405222183001,356,1,306,20,R,BAY,GNHL,,13,,13,,13,2001,1,,
2014,12,Sheepshead,5,25,2199,1,,375,419,16.5,16,2,3,,201405252199001,356,1,306,20,R,BAY,GNHL,,4,,4,,4,2010,1,,
2014,13,Sheepshead,5,25,2199,2,,586,648,25.51,25,2,3,,201405252199002,356,1,306,20,R,BAY,GNHL,,17,,18,,17,1997,1,,
2014,14,Sheepshead,6,2,73,1,,506,559,22.01,22,2,5,,201406020073001,356,1,306,20,R,BAY,GNHL,,9,,9,,9,2005,1,,
2014,15,Sheepshead,6,2,73,2,,517,566,22.28,22,2,4,"""no otolith""",201406020073002,356,6,306,20,R,BAY,GNHL,,,,,,,,,,
2014,16,Sheepshead,6,2,73,3,,560,615,24.21,24,1,2,,201406020073003,356,1,306,20,R,BAY,GNHL,,28,33,32,31,28,1986,1,,1
2014,17,Sheepshead,6,2,73,4,,527,580,22.83,22,2,,,201406020073004,356,1,306,20,R,BAY,GNHL,,12,,12,,12,2002,1,,
2014,18,Sheepshead,6,3,4208,1,2.47,364,393,15.47,15,2,2,,201406034208001,356,1,307,142,C,BAY,GNHL,,3,4,3,3,3,2011,1,,1
2014,19,Sheepshead,6,3,4208,2,1.46,312,345,13.58,13,1,2,,201406034208002,356,1,307,142,C,BAY,GNHL,,3,,3,,3,2011,1,,
2014,20,Sheepshead,6,3,4208,3,2.33,357,392,15.43,15,2,2,,201406034208003,356,1,307,142,C,BAY,GNHL,,3,,3,,3,2011,1,,
2014,21,Sheepshead,6,3,4208,4,1.67,322,360,14.17,14,1,2,,201406034208004,356,1,307,142,C,BAY,GNHL,,3,3,3,3,3,2011,1,,1
2014,22,Sheepshead,6,3,4208,5,1.88,327,360,14.17,14,2,2,,201406034208005,356,1,307,142,C,BAY,GNHL,,3,3,3,3,3,2011,1,,1
2014,23,Sheepshead,6,3,4208,6,1.08,271,301,11.85,11,1,2,,201406034208006,356,1,307,142,C,BAY,GNHL,,2,,2,,2,2012,1,,
2014,24,Sheepshead,6,5,117,1,,538,595,,23,2,4,"""James Oleksa""",201406050117001,356,1,306,20,R,BAY,GNHL,,24,,24,,24,1990,1,,
2014,25,Sheepshead,6,5,117,2,,544,600,23.62,23,2,4,,201406050117002,356,1,306,20,R,BAY,GNHL,,15,,15,,15,1999,1,,
2014,26,Sheepshead,6,5,117,3,,497,523,,20,1,4,,201406050117003,356,1,306,20,R,BAY,GNHL,,18,,18,,18,1996,1,,
2014,27,Sheepshead,6,5,4215,8,1.37,301,323,12.72,12,2,2,,201406054215008,356,1,307,142,C,BAY,GNHL,,3,3,3,3,3,2011,1,,1
2014,28,Sheepshead,6,5,4215,9,0.85,252,262,10.31,10,1,2,,201406054215009,356,1,307,142,C,BAY,GNHL,,2,,2,,2,2012,1,,
2014,29,Sheepshead,6,5,4215,10,0.85,245,266,10.47,10,2,3,,201406054215010,356,1,307,142,C,BAY,GNHL,,2,,2,,2,2012,1,,
2014,30,Sheepshead,6,5,4215,11,1.22,285,312,12.28,12,2,3,,201406054215011,356,1,307,142,C,BAY,GNHL,,3,,3,,3,2011,1,,
2014,31,Sheepshead,6,5,4215,12,1.68,312,345,13.58,13,1,2,,201406054215012,356,1,307,142,C,BAY,GNHL,,3,3,3,3,3,2011,1,,1
2014,32,Sheepshead,6,5,4215,13,1.13,285,308,12.13,12,2,3,,201406054215013,356,1,307,142,C,BAY,GNHL,,3,3,3,3,3,2011,1,,1
2014,33,Sheepshead,6,7,4227,1,,556,618,24.33,24,1,2,,201406074227001,356,1,307,20,R,BAY,GNHL,,16,,16,,16,1998,1,,
2014,34,Sheepshead,6,7,4227,2,,515,564,,22,1,2,,201406074227002,356,1,307,20,R,BAY,GNHL,,13,13,13,13,13,2001,1,,1
