YEAR,AGID,SPNAME,MONTH,DAY,BATCH,ENVNO,WEIGHT,FORK,TOTAL,TOTAL2,SIZE,SEX,STAGE,COMMENT,FISHID,SPEC_GROUP,STRUC,WATER,GEAR,TYPE,AREA,GEARTYPE,SELECTED,READER1,READER1PREC,READER2,READER2PREC,OTOAGE,YOBOTO,OTOAGED,DIFFERENCE,selection.50
2015,1,Sheepshead,5,6,2108,1,2.45,350,385,15.16,15,2,3,,201505062108001,356,1,306,142,C,BAY,GNHL,,4,4,4,4,4,2011,1,,1
2015,5,Sheepshead,5,24,65,1,,525,586,23.07,23,1,3,,201505240065001,356,1,307,20,R,BAY,GNHL,,25,25,25,25,25,1990,1,,1
2015,15,Sheepshead,5,27,48,5,,421,463,18.23,18,2,3,,201505270048005,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2011,1,,1
2015,17,Sheepshead,5,27,48,7,,405,450,17.72,17,1,2,,201505270048007,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2011,1,,1
2015,20,Sheepshead,5,27,48,10,,522,576,22.68,22,1,3,,201505270048010,356,1,307,20,R,BAY,GNHL,,9,9,9,9,9,2006,1,,1
2015,21,Sheepshead,5,27,48,11,,403,444,17.48,17,1,2,,201505270048011,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2011,1,,1
2015,22,Sheepshead,5,29,63,1,,539,603,23.74,23,1,3,,201505290063001,356,1,306,20,R,BAY,GNHL,,18,18,18,18,18,1997,1,,1
2015,27,Sheepshead,6,1,75,4,,364,399,15.71,15,1,3,,201506010075004,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2011,1,,1
2015,31,Sheepshead,6,13,93,1,,428,477,18.78,18,2,3,,201506130093001,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2011,1,,1
2015,33,Sheepshead,6,19,115,2,,547,606,23.86,23,1,2,,201506190115002,356,1,307,20,R,BAY,GNHL,,14,14,14,14,14,2001,1,,1
2015,42,Sheepshead,7,5,145,2,,405,446,17.56,17,2,2,,201507050145002,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2011,1,,1
2015,43,Sheepshead,7,7,166,1,,495,547,21.54,21,2,2,,201507070166001,356,1,306,20,R,BAY,GNHL,,7,7,8,8,7,2008,1,,1
2015,46,Sheepshead,7,8,176,1,,421,456,17.95,17,2,3,,201507080176001,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2011,1,,1
2015,47,Sheepshead,7,8,176,2,,418,461,18.15,18,2,3,,201507080176002,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2011,1,,1
2015,48,Sheepshead,7,8,176,3,,384,419,16.5,16,1,,,201507080176003,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2011,1,,1
2015,49,Sheepshead,7,8,176,4,,432,470,18.5,18,1,,,201507080176004,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2011,1,,1
2015,51,Sheepshead,7,8,176,6,,385,427,16.81,16,1,2,,201507080176006,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2011,1,,1
2015,52,Sheepshead,7,8,176,7,,434,472,18.58,18,1,2,,201507080176007,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2011,1,,1
2015,54,Sheepshead,7,12,194,1,,528,558,21.97,21,2,2,,201507120194001,356,1,306,20,R,BAY,GNHL,,17,18,17,18,17,1998,1,,1
2015,55,Sheepshead,7,20,190,1,,508,571,22.48,22,2,5,,201507200190001,356,1,306,20,R,BAY,GNHL,,10,10,10,10,10,2005,1,,1
2015,56,Sheepshead,7,22,217,1,,543,595,23.43,23,2,3,,201507220217001,356,1,307,20,R,BAY,GNHL,,10,10,10,10,10,2005,1,,1
2015,59,Sheepshead,8,1,224,1,,496,549,21.61,21,2,3,,201508010224001,356,1,307,20,R,BAY,GNHL,,8,8,8,8,8,2007,1,,1
2015,64,Sheepshead,8,1,237,2,,361,404,15.91,15,2,3,,201508010237002,356,1,307,20,R,BAY,GNHL,,4,5,4,4,4,2011,1,,1
2015,65,Sheepshead,8,1,237,3,,419,464,18.27,18,2,3,,201508010237003,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2011,1,,1
2015,66,Sheepshead,8,1,237,4,,403,446,17.56,17,1,2,,201508010237004,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2011,1,,1
2015,67,Sheepshead,8,1,237,5,,405,458,18.03,18,2,3,,201508010237005,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2011,1,,1
2015,68,Sheepshead,8,1,237,6,,404,449,17.68,17,2,1,,201508010237006,356,1,307,20,R,BAY,GNHL,,4,4,4,4,4,2011,1,,1
2015,70,Sheepshead,8,10,264,1,,522,583,22.95,22,1,2,,201508100264001,356,1,306,20,R,BAY,GNHL,,23,24,24,24,24,1991,1,,1
