YEAR,AGID,SPNAME,MONTH,DAY,BATCH,ENVNO,WEIGHT,FORK,TOTAL,TOTAL2,SIZE,SEX,STAGE,JVSEX,COMMENT,FISHID,SPEC_GROUP,STRUC,WATER,GEAR,TYPE,AREA,GEARTYPE,SELECTED,READER1,READER1PREC,READER2,READER2PREC,OTOAGE,YOBOTO,OTOAGED,DIFFERENCE,GRAM,FL,STATE,AGE
2011,1,Sheepshead,4,25,2083,1,3.73,410,453,17.83,17,2,3,2,,201104252083001,356,1,306,142,C,BAY,GNHL,,4,4,4,4,4,2007,1,,1691.928,410,VA,4
2011,2,Sheepshead,4,25,2083,2,2.61,358,396,15.59,15,2,2,2,,201104252083002,356,1,306,142,C,BAY,GNHL,,4,4,4,4,4,2007,1,,1183.896,358,VA,4
2011,3,Sheepshead,4,25,2083,3,2.41,360,393,15.47,15,2,2,2,,201104252083003,356,1,306,142,C,BAY,GNHL,,4,4,4,4,4,2007,1,,1093.176,360,VA,4
2011,4,Sheepshead,5,6,2101,1,4.07,407,436,17.17,17,2,3,2,,201105062101001,356,1,306,142,C,BAY,GNHL,,4,4,4,4,4,2007,1,,1846.152,407,VA,4
2011,5,Sheepshead,5,18,2130,1,3.82,429,473,18.62,18,1,2,1,,201105182130001,356,1,306,142,C,BAY,GNHL,,5,5,4,4,5,2006,1,,1732.752,429,VA,5
2011,6,Sheepshead,5,24,2159,1,11.11,602,649,,25,2,3,2,,201105252159001,356,1,306,20,R,BAY,GNHL,,16,16,15,16,16,1995,1,,5039.496,602,VA,16
2011,7,Sheepshead,6,6,62,1,,535,602,23.7,23,3,,3,"""Ralph Giannini""",201106060062001,356,1,306,20,R,BAY,GNHL,,13,13,13,13,13,1998,1,,,535,VA,13
2011,8,Sheepshead,6,6,62,2,,518,577,22.72,22,3,,3,"""David Giannini""",201106060062002,356,1,306,20,R,BAY,GNHL,,14,14,13,14,14,1997,1,1,,518,VA,14
2011,9,Sheepshead,6,15,2196,1,8.86,527,583,22.95,22,1,2,1,,201106152196001,356,1,306,142,C,BAY,GNHL,,15,15,15,15,15,1996,1,,4018.896,527,VA,15
2011,10,Sheepshead,6,16,4204,1,,603,656,25.83,25,1,2,1,,201106174204001,356,1,307,20,R,BAY,GNHL,,22,23,22,23,22,1989,1,,,603,VA,22
2011,11,Sheepshead,6,25,4224,1,,557,600,23.62,23,1,2,1,,201106294224001,356,1,307,20,R,BAY,GNHL,,14,14,13,14,14,1997,1,,,557,VA,14
2011,12,Sheepshead,6,27,2226,1,7.83,495,549,21.61,21,2,2,2,,201106272226001,356,1,307,100,C,BAY,GNHL,,10,10,10,10,10,2001,1,,3551.688,495,VA,10
2011,13,Sheepshead,6,29,4225,1,,538,590,23.23,23,3,,3,,201106294225001,356,1,306,20,R,BAY,GNHL,,12,14,12,13,12,1999,1,,,538,VA,12
2011,14,Sheepshead,7,1,70,1,,517,569,22.4,22,1,2,1,"""Roger Burnley""",201107010070001,356,1,307,20,R,BAY,GNHL,,13,12,12,12,13,1998,1,,,517,VA,13
2011,15,Sheepshead,7,2,71,1,,525,584,22.99,22,2,2,2,"""Jere Humphrey""",201107020071001,356,1,307,20,R,BAY,GNHL,,11,12,11,11,11,2000,1,,,525,VA,11
2011,16,Sheepshead,7,8,4240,1,,543,606,23.86,23,1,2,1,,201107114240001,356,1,307,20,R,BAY,GNHL,,14,15,14,14,14,1997,1,,,543,VA,14
2011,17,Sheepshead,7,11,2248,1,10.52,567,625,24.61,24,2,3,2,,201107112248001,356,1,306,142,C,BAY,GNHL,,13,14,13,13,13,1998,1,,4771.872,567,VA,13
2011,18,Sheepshead,7,11,2248,2,9.76,556,612,24.09,24,1,3,1,,201107112248002,356,1,306,142,C,BAY,GNHL,,13,14,12,12,14,1997,1,,4427.136,556,VA,14
2011,19,Sheepshead,7,19,4250,1,,432,477,18.78,18,1,2,1,,201107264250001,356,1,307,20,R,BAY,GNHL,,4,5,4,4,4,2007,1,,,432,VA,4
2011,20,Sheepshead,7,19,4250,2,,445,486,19.13,19,1,2,1,,201107264250002,356,6,307,20,R,BAY,GNHL,,,,,,,,,,,445,VA,
